Program;Dosežen naziv, strokovni in znanstveni naslov;Zavod;KLASIUS-SRV koda;KLASIUS-SRV deskriptor;KLASIUS-SRV deskriptor (angleški);KLASIUS-P16 koda;KLASIUS-P16 deskriptor;KLASIUS-P16 deskriptor (angleški)
Šolska psihologija;specialist za šolsko psihologijo;;18101;Specialistično izobraževanje po univerzitetni izobrazbi (prejšnje)/specializacija po univerzitetni izobrazbi (prejšnja);Specialization after academic higher education (former)/Specialization after academic higher education (former);="0111";Izobraževalne znanosti;Education science;
Šolsko knjižničarstvo;magister profesor šolskega knjižničarstva;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Španski jezik in književnost;diplomant španskega jezika in književnosti (UN) in ...;;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Španski jezik in književnost;magister španskega jezika in književnosti in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Španščina;magister profesor španščine in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Špedicija in luški transport, A - špediter;špediter;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="1041";Transport;Transport services;
Špedicija in luški transport, B - luško-transportni tehnik;luško-transportni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="1041";Transport;Transport services;
Športna rekreacija;diplomant športne rekreacije (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="1014";Šport;Sports;
Športna rekreacija;višji organizator športne rekreacije;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="1014";Šport;Sports;
Športna vzgoja;diplomant športne vzgoje (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Športna vzgoja;magister profesor športne vzgoje;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Športna vzgoja;profesor športne vzgoje;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Športno treniranje;diplomant športnega treniranja (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="1014";Šport;Sports;
Športno treniranje;diplomirani športni trener (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="1014";Šport;Sports;
Športno treniranje;diplomirani trener;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="1014";Šport;Sports;
Športno treniranje;magister športnega treniranja;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="1014";Šport;Sports;
Športno treniranje;višji trener;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="1014";Šport;Sports;
Študiji kulturne dediščine;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0731";Arhitektura, prostorsko načrtovanje in urbanizem;Architecture and town planning;
Talilec;talilec;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Talilec pri elektro peči;talilec pri elektro peči;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Talilec pri plavžu;talilec pri plavžu;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Talilec pri siemens-martinovi peči;talilec pri siemens-martinovi peči;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Tapetnik;tapetnik;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tapetniški delovodja;tapetniški delovodja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tehnična matematika;inženir tehnične matematike;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0541";Matematika;Mathematics;
Tehnična vzgoja in fizika;predmetni učitelj za tehnično vzgojo in fiziko;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Tehnična vzgoja in matematika;predmetni učitelj tehnične vzgoje in matematike;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Tehnični pouk;predmetni učitelj za tehnični pouk;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Tehnični pouk z osnovami fizike;predmetni učitelj za tehnični pouk z osnovami fizike;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Tehnični risar;tehnični risar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Tehnični strojni risar;tehnični strojni risar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Tehnično upravljanje nepremičnin;diplomirani inženir geodezije (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0731";Arhitektura, prostorsko načrtovanje in urbanizem;Architecture and town planning;
Tehnik elektronskih komunikacij;tehnik elektronskih komunikacij;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0714";Elektronika in avtomatizacija;Electronics and automation;
Tehnik grafičnega oblikovanja;tehnik grafičnega oblikovanja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Tehnik industrijskega oblikovanja;tehnik industrijskega oblikovanja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Tehnik kmetijske mehanizacije;tehnik kmetijske mehanizacije;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0716";Motorna vozila, ladje in letala;Motor vehicles, ships and aircraft;
Tehnik laboratorijske biomedicine;tehnik laboratorijske biomedicine;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0914";Medicinska diagnostična in terapevtska tehnologija;Medical diagnostic and treatment technology;
Tehnik mehatronike;tehnik mehatronike;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Tehnik modnega oblikovanja;tehnik modnega oblikovanja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Tehnik oblikovanja;tehnik oblikovanja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0212";Modno oblikovanje, oblikovanje prostora in industrijsko oblikovanje;Fashion, interior and industrial design;
Tehnik optik;tehnik optik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0914";Medicinska diagnostična in terapevtska tehnologija;Medical diagnostic and treatment technology;
Tehnik računalništva;tehnik računalništva;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0610";Informacijske in komunikacijske tehnologije (IKT), podrobneje neopredeljeno;Information and Communication Technologies (ICTs) not further defined;
Tehnik steklarstva;tehnik steklarstva;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Tehnik varovanja;tehnik varovanja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="1032";Varnost, varovanje, zaščita in reševanje;Protection of persons and property;
Tehnik vleke - strojevodja električnih vlečnih vozil;tehnik vleke - strojevodja električnih vlečnih vozil;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="1041";Transport;Transport services;
Tehnik za industrijo gradbenega materiala;tehnik za industrijo gradbenega materiala;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Tehnik zdravstvene nege;tehnik zdravstvene nege;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0913";Zdravstvena nega in babištvo;Nursing and midwifery;
Tehnika - področje izobraževanja;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0114";Izobraževanje učiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Tehniška gimnazija;nedoločeno;;15002;Srednje splošno izobraževanje/srednja splošna izobrazba;General upper secondary education/General upper secondary education;="0011";Splošne izobraževalne aktivnosti/izidi;Basic programmes and qualifications;
Tehniška varnost;diplomirani inženir tehniške varnosti (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="1022";Varnost in zdravje pri delu;Occupational health and safety;
Tehniška varnost;magister inženir tehniške varnosti;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="1022";Varnost in zdravje pri delu;Occupational health and safety;
Tehniški risar;tehniški risar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Tehniško varstvo okolja;diplomirani inženir tehniškega varstva okolja (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Tehniško varstvo okolja;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0712";Okoljevarstvena tehnologija;Environmental protection technology;
Tehniško varstvo okolja;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Tehniško varstvo okolja;magister inženir tehniškega varstva okolja;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Tehniško varstvo okolja;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0712";Okoljevarstvena tehnologija;Environmental protection technology;
Tehnologija polimerov;diplomirani inženir tehnologije polimerov (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Tehnologija polimerov;magister inženir tehnologije polimerov;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Tehnologija prometa;diplomirani inženir tehnologije prometa;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="1041";Transport;Transport services;
Tehnologija prometa;diplomirani inženir tehnologije prometa (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="1041";Transport;Transport services;
Tehnologija prometa;inženir prometa;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="1041";Transport;Transport services;
Tehnologija prometa;prometni inženir;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="1041";Transport;Transport services;
Tehnologija prometa;univerzitetni diplomirani inženir tehnologije prometa;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="1041";Transport;Transport services;
Tehnologija prometa in logistika;diplomirani inženir tehnologije prometa (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="1041";Transport;Transport services;
Tehnologija vodenja industrijskih procesov;univerzitetni diplomirani inženir elektrotehnike, specialist;;17001;Specialistično izobraževanje po visokošolski strokovni izobrazbi (prejšnje)/specializacija po visokošolski strokovni izobrazbi (prejšnja);Specialization after professional higher education (former)/Specialization after professional higher education (former);="0714";Elektronika in avtomatizacija;Electronics and automation;
Tehnologije in sistemi;diplomirani inženir tehnolog (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Tehnologije in sistemi v strojništvu;magister inženir strojništva;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Tehnologije lesa in vlaknatih kompozitov;diplomirani inženir lesarstva (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0722";Lesarska, papirniška, plastična, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Tehnologije tekstilnega oblikovanja;diplomirani tekstilni oblikovalec (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilec, kemični čistilec in vzdrževalec tekstilij;kemični čistilec in vzdrževalec tekstilij;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="1011";Storitve za gospodinjstva;Domestic services;
Tekstilec, plemenitilec;plemenitilec;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilec, pletilec;pletilec;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilec, predilec;predilec;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilec, šivilja-krojač;šivilja-krojač;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilec, tkalec;tkalec;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilna tehnika;diplomirani inženir tekstilne tehnike;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilna tehnologija;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilna tehnologija;inženir tekstilne tehnologije;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilna tehnologija;inženir tekstilne tehnologije/ inženir tekstilno-konfekcijske tehnologije;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilna tehnologija;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilna tehnologija;univerzitetni diplomirani inženir tekstilne tehnologije;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni apreter;tekstilni apreter;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni barvar;tekstilni barvar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni kemik, A - tekstilni kemik I;tekstilni kemik I;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni kemik, B - tekstilni kemik II;tekstilni kemik II;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni kemik, C - tekstilno-kemijski tehnik;tekstilno-kemijski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni konfekcionar, A - tekstilni konfekcionar I;tekstilni konfekcionar I;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni konfekcionar, B - tekstilni konfekcionar II;tekstilni konfekcionar I;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni konfekcionar, C - tekstilno-obrtni konfekcionar;tekstilno-obrtni konfekcionar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni konfekcionar, tekstilno-konfekcijski tehnik;tekstilno-konfekcijski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni materiali;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Tekstilni mehanik, A - tekstilni mehanik I;tekstilni mehanik I;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni mehanik, B - tekstilni mehanik II;tekstilni mehanik II;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni mehanik, C - tekstilno-mehanski tehnik;tekstilno-mehanski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni tehnik;tekstilni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni tehnik, konfekcijski tehnik;konfekcijski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni tehnik, Konfekcijski tehnik;tekstilni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Tekstilni tehnik, plemenitilski tehnik;plemenitilski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0723";Tekstilna, oblačilna, čevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
