Program;Dosežen naziv, strokovni in znanstveni naslov;Zavod;KLASIUS-SRV koda;KLASIUS-SRV deskriptor;KLASIUS-SRV deskriptor (angleški);KLASIUS-P16 koda;KLASIUS-P16 deskriptor;KLASIUS-P16 deskriptor (angleški)
Raèunalništvo, A - raèunalniški tehnik;raèunalniški tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0610";Informacijske in komunikacijske tehnologije (IKT), podrobneje neopredeljeno;Information and Communication Technologies (ICTs) not further defined;
Raèunalništvo, B - programerski tehnik;programerski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0613";Razvoj in analiza programske opreme in aplikacij;Software and applications development and analysis;
Raèunovodja;raèunovodja;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="0411";Raèunovodstvo in revizija;Accounting and taxation;
Raèunovodstvo;diplomirani ekonomist (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0411";Raèunovodstvo in revizija;Accounting and taxation;
Raèunovodstvo in finance;diplomirani ekonomist (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0411";Raèunovodstvo in revizija;Accounting and taxation;
Raèunovodstvo in revizija;magister poslovnih ved;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0411";Raèunovodstvo in revizija;Accounting and taxation;
Raèunovodstvo, revizija in davèno svetovanje;specialist [izbrane smeri];;18101;Specialistièno izobraževanje po univerzitetni izobrazbi (prejšnje)/specializacija po univerzitetni izobrazbi (prejšnja);Specialization after academic higher education (former)/Specialization after academic higher education (former);="0411";Raèunovodstvo in revizija;Accounting and taxation;
Radijska režija;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Radijska režija;univerzitetni diplomirani režiser specialist;;18101;Specialistièno izobraževanje po univerzitetni izobrazbi (prejšnje)/specializacija po univerzitetni izobrazbi (prejšnja);Specialization after academic higher education (former)/Specialization after academic higher education (former);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Radiologija;diplomirani inženir radiologije;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0914";Medicinska diagnostièna in terapevtska tehnologija;Medical diagnostic and treatment technology;
Radiologija;inženir radiologije;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0914";Medicinska diagnostièna in terapevtska tehnologija;Medical diagnostic and treatment technology;
Radiologija;višji radiološki tehnik;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0914";Medicinska diagnostièna in terapevtska tehnologija;Medical diagnostic and treatment technology;
Radiologija;višji rentgenski tehnik;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0914";Medicinska diagnostièna in terapevtska tehnologija;Medical diagnostic and treatment technology;
Radiološka tehnologija;diplomirani inženir radiološke tehnologije (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0914";Medicinska diagnostièna in terapevtska tehnologija;Medical diagnostic and treatment technology;
Radiološka tehnologija;magister inženir radiološke tehnologije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0914";Medicinska diagnostièna in terapevtska tehnologija;Medical diagnostic and treatment technology;
Razredni pouk;magister profesor razrednega pouka;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0113";Izobraževanje uèiteljev brez predmetne specializacije;Teacher training without subject specialisation;
Razredni pouk;magister profesor razrednega pouka / magister profesor razrednega pouka z anglešèino / magister profesor razrednega pouka z italijanšèino;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0113";Izobraževanje uèiteljev brez predmetne specializacije;Teacher training without subject specialisation;
Razredni pouk;predmetni uèitelj za razredni pouk;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0113";Izobraževanje uèiteljev brez predmetne specializacije;Teacher training without subject specialisation;
Razredni pouk;profesor razrednega pouka;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0113";Izobraževanje uèiteljev brez predmetne specializacije;Teacher training without subject specialisation;
Razredni pouk;profesor razrednega pouka (UN);UP PEF,UL PEF;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0113";Izobraževanje uèiteljev brez predmetne specializacije;Teacher training without subject specialisation;
Razredni pouk;profesor razrednega pouka (UN);UM PEF;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0111";Izobraževalne znanosti;Education science;
Razredni pouk;razredni uèitelj;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0113";Izobraževanje uèiteljev brez predmetne specializacije;Teacher training without subject specialisation;
Razredni pouk;uèitelj razrednega pouka;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0113";Izobraževanje uèiteljev brez predmetne specializacije;Teacher training without subject specialisation;
Razvoj in teorija oblikovanja;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0288";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno umetnost in humanistika;Inter-disciplinary programmes and qualifications involving arts and humanities;
Razvojne študije;magister razvojnih študij;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0388";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno družbene vede, novinarstvo in informacijska znanost;Inter-disciplinary programmes and qualifications involving social sciences, journalism and information;
Recepcioner, gostinski tehnik;recepcioner, gostinski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="1013";Hotelirstvo in gostinstvo;Hotel, restaurants and catering;
Receptorski pomoènik (USO II);receptorski pomoènik;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="1013";Hotelirstvo in gostinstvo;Hotel, restaurants and catering;
Religiologija in etika;magister religiologije in etike;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0221";Religija in teologija;Religion and theology;
Reprodukcijski fotograf;reprodukcijski fotograf;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Restavratorstvo;akademski restavrator;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0213";Likovna umetnost;Fine arts;
Restavratorstvo;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0213";Likovna umetnost;Fine arts;
Restavratorstvo in konzervatorstvo;specialist za restavratorstvo;;18101;Specialistièno izobraževanje po univerzitetni izobrazbi (prejšnje)/specializacija po univerzitetni izobrazbi (prejšnja);Specialization after academic higher education (former)/Specialization after academic higher education (former);="0213";Likovna umetnost;Fine arts;
Retušer;retušer;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Rezalec stekla;rezalec stekla;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0722";Lesarska, papirniška, plastièna, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Rezbar;rezbar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0214";Domaèa in umetnostna obrt (unikatni, umetniški izdelki);Handicrafts;
Rezkalec (frezalec);rezkalec (frezalec);;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Ribiè;ribiè;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0831";Ribištvo in akvakultura;Fisheries;
Rimsko pravo in pravna zgodovina;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0421";Pravo;Law;
Rimsko pravo in pravna zgodovina;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0421";Pravo;Law;
Risanje in slikanje;diplomirani slikar;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0213";Likovna umetnost;Fine arts;
Roèni stavec;roèni stavec;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0211";Avdiovizualno ustvarjanje,  tehnike in multimedijska proizvodnja;Audio-visual techniques and media production;
Roèno obloèni varilec;roèno obloèni varilec;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Roletar;roletar;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0722";Lesarska, papirniška, plastièna, steklarska in podobna tehnologija;Materials (glass, paper, plastic and wood);
Romanski jeziki in književnosti;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Romanski jeziki in književnosti;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
RTV mehanik;RTV mehanik;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0714";Elektronika in avtomatizacija;Electronics and automation;
Rudar;rudar;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudar;rudar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudar - kopaè;rudar - kopaè;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudar in rudarski tehnik, A - rudar za površinsko pridobivanje mineralnih surovin;rudar za površinsko pridobivanje mineralnih surovin;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudar in rudarski tehnik, B - rudar za podzemno pridobivanje mineralnih surovin;rudar za podzemno pridobivanje mineralnih surovin;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudar in rudarski tehnik, C - rudarski tehnik;rudarski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudarski delavec;rudarski delavec;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudarski delavec (USO I);rudarski delavec;;12099;Osnovnošolsko izobraževanje višje stopnje/osnovnošolska izobrazba, drugje nerazporejeno;Second stage of basic education/Basic education, not elsewhere classified;="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudarski nadzornik - delovodja;rudarski nadzornik - delovodja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudarski obratovni elektrikar;rudarski obratovni elektrikar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Rudarski tehnik;rudarski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudarstvo;doktor znanosti;;18201;Doktorsko izobraževanje (prejšnje)/doktorat znanosti (prejšnji);Education leading to doctorate of science (former)/Doctorate of science (former);="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudarstvo;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudarstvo;pomoènik rudarja;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudarstvo in geotehnologija;diplomirani inženir rudarstva in geotehnologije;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudarstvo in geotehnologija;inženir geotehnologije in rudarstva;;16101;Višje strokovno izobraževanje/višja strokovna izobrazba;Higher vocational education/Higher vocational education;="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudarstvo in geotehnologija;univerzitetni diplomirani inženir rudarstva in geotehnologije;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudarstvo, A - rudar;rudar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rudarstvo, B - rudarski tehnik;rudarski tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0724";Rudarstvo in drugo pridobivanje rudnin;Mining and extraction;
Rusistika;diplomirani rusist (UN) in ...;;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Rusistika;magister profesor rušèine in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Rusistika;magister rusistike in ...;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Ruski jezik s književnostjo;predmetni uèitelj rušèine;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Rušèina;predmetni uèitelj za rušèino;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0114";Izobraževanje uèiteljev s predmetno specializacijo;Teacher training with subject specialisation;
Sadjarsko-vinogradniški tehnik;sadjarsko-vinogradniški tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0811";Poljedelstvo in reja živali;Crop and livestock production;
Sadjarstvo;magister inženir sadjarstva;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0812";Hortikultura;Horticulture;
Sadjar-vinogradnik;sadjar-vinogradnik;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0811";Poljedelstvo in reja živali;Crop and livestock production;
Sadjar-vinogradnik-vinar;sadjar-vinogradnik-vinar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0811";Poljedelstvo in reja živali;Crop and livestock production;
Sanitarni tehnik;sanitarni tehnik;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0988";Interdisciplinarne izobraževalne aktivosti/zidi, pretežno zdravstvo in socialna varnost;Inter-disciplinary programmes and qualifications involving health and welfare;
Sanitarno delo;višji sanitarni tehnik;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0988";Interdisciplinarne izobraževalne aktivosti/zidi, pretežno zdravstvo in socialna varnost;Inter-disciplinary programmes and qualifications involving health and welfare;
Sanitarno inženirstvo;diplomirani sanitarni inženir;;16202;Visokošolsko strokovno izobraževanje (prejšnje)/visokošolska strokovna izobrazba (prejšnja);Professional higher education (former)/Professional higher education (former);="0914";Medicinska diagnostièna in terapevtska tehnologija;Medical diagnostic and treatment technology;
Sanitarno inženirstvo;diplomirani sanitarni inženir (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0988";Interdisciplinarne izobraževalne aktivosti/zidi, pretežno zdravstvo in socialna varnost;Inter-disciplinary programmes and qualifications involving health and welfare;
Sanitarno inženirstvo;magister sanitarnega inženirstva;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0988";Interdisciplinarne izobraževalne aktivosti/zidi, pretežno zdravstvo in socialna varnost;Inter-disciplinary programmes and qualifications involving health and welfare;
Sanitarno inženirstvo;sanitarni inženir;;16102;Višješolsko izobraževanje (prejšnje)/višješolska izobrazba (prejšnja);Short-term higher education (former)/Short-term higher education (former);="0988";Interdisciplinarne izobraževalne aktivosti/zidi, pretežno zdravstvo in socialna varnost;Inter-disciplinary programmes and qualifications involving health and welfare;
Scenografija;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Scenografija;specialist za scenografijo;;17001;Specialistièno izobraževanje po visokošolski strokovni izobrazbi (prejšnje)/specializacija po visokošolski strokovni izobrazbi (prejšnja);Specialization after professional higher education (former)/Specialization after professional higher education (former);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Scensko oblikovanje;magister scenskega oblikovanja;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0215";Glasba, ples in uprizoritvene umetnosti;Music and performing arts;
Sedlar-jermenar;sedlar-jermenar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0723";Tekstilna, oblaèilna, èevljarska in usnjarska tehnologija;Textiles (clothes, footwear and leather);
Senzorske tehnologije;doktor znanosti;;18202;Doktorsko izobraževanje(tretja bolonjska stopnja)/doktorat znanosti (tretja bolonjska stopnja);Education leading to doctorate of science (third Bologna cycle)/Doctorate of science (third Bologna cycle);="0788";Interdisciplinarne izobraževalne aktivnosti/izidi, pretežno tehnika, proizvodne tehnologije in gradbeništvo;Inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction;
Signalno-varnostne naprave, A - mehanik signalno-varnostnih naprav;mehanik signalno-varnostnih naprav;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Signalno-varnostne naprave, B - tehnik signalno-varnostnih naprav;tehnik signalno-varnostnih naprav;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0713";Elektrotehnika in energetika;Electricity and energy;
Sinologija;diplomirani sinolog (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Sinologija;magister sinologije;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0231";Usvajanje jezikov (drugih, tujih, znakovnih, prevajalstvo);Language acquisition;
Skladišèenje in transport (USO I);skladišèni delavec, transportni delavec;;12099;Osnovnošolsko izobraževanje višje stopnje/osnovnošolska izobrazba, drugje nerazporejeno;Second stage of basic education/Basic education, not elsewhere classified;="0416";Prodaja (trgovina) na debelo in drobno;Wholesale and retail sales;
Skladišèni delavec (USO II);skladišèni delavec;;13001;Nižje poklicno izobraževanje/nižja poklicna izobrazba;Short-term vocational upper secondary education/Short-term vocational upper secondary education;="0416";Prodaja (trgovina) na debelo in drobno;Wholesale and retail sales;
Skladišènik (blagovni manipulant);skladišènik (blagovni manipulant);;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0416";Prodaja (trgovina) na debelo in drobno;Wholesale and retail sales;
Skobljar;skobljar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0715";Metalurgija, strojništvo in kovinarstvo;Mechanics and metal trades;
Slašèièar;slašèièar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0721";Živilska tehnologija;Food processing;
Slašèièar-konditor;slašèièar-konditor;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0721";Živilska tehnologija;Food processing;
Slašèièarski delovodja;slašèièarski delovodja;;15001;Srednje tehniško in drugo strokovno izobraževanje/srednja strokovna izobrazba;Technical upper secondary education/Technical upper secondary education;="0721";Živilska tehnologija;Food processing;
Slikarstvo;akademski slikar;;17002;Visokošolsko univerzitetno izobraževanje (prejšnje)/visokošolska univerzitetna izobrazba (prejšnja);Academic higher education (former)/Academic higher education (former);="0213";Likovna umetnost;Fine arts;
Slikarstvo;diplomirani slikar (UN);;16204;Visokošolsko univerzitetno izobraževanje (prva bolonjska stopnja)/visokošolska univerzitetna izobrazba (prva bolonjska stopnja);Academic higher education (first Bologna cycle)/Academic higher education (first Bologna cycle);="0213";Likovna umetnost;Fine arts;
Slikarstvo;diplomirani slikar (VS);;16203;Visokošolsko strokovno izobraževanje (prva bolonjska stopnja)/visokošolska strokovna izobrazba (prva bolonjska stopnja);Professional higher education (first Bologna cycle)/Professional higher education (first Bologna cycle);="0213";Likovna umetnost;Fine arts;
Slikarstvo;magister grafike / magister novih medijev / magister slikarstva;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0213";Likovna umetnost;Fine arts;
Slikarstvo;magister likovnih umetnosti;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0213";Likovna umetnost;Fine arts;
Slikarstvo;magister slikarstva;;17003;Magistrsko izobraževanje (druga bolonjska stopnja)/magistrska izobrazba (druga bolonjska stopnja);Master's education (second Bologna cycle)/Master (second Bologna cycle);="0213";Likovna umetnost;Fine arts;
Slikarstvo;magister znanosti;;18102;Magistrsko izobraževanje (prejšnje)/magisterij znanosti (prejšnji);Education leading to "magisterij" of science (former)/"Magisterij" of science (former);="0213";Likovna umetnost;Fine arts;
Slikarstvo;specialist za slikarstvo;;18101;Specialistièno izobraževanje po univerzitetni izobrazbi (prejšnje)/specializacija po univerzitetni izobrazbi (prejšnja);Specialization after academic higher education (former)/Specialization after academic higher education (former);="0213";Likovna umetnost;Fine arts;
Slikopleskar;slikopleskar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Slikopleskar - èrkoslikar;slikopleskar - èrkoslikar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Slikopleskar-èrkopleskar;slikopleskar - èrkoslikar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
Slikopleskarstvo;slikopleskar;;14001;Srednje poklicno izobraževanje/srednja poklicna izobrazba;Vocational upper secondary education/Vocational upper secondary education;="0732";Gradbeništvo;Building and civil engineering;
